Age,Gender,Category,MarriageStatus,FactorsPurchase,FreeCustomization,ExteriorComponents,InteriorComponents,WTSCustomization,WantOwnPersonalization,WTSPersonalization,PersonalizationJob,factors,external,internal,fact_length,ext_length,int_length
20-30,Male,"Do not own a car, but planning to purchase in future",Single,Price;Brand name;Aesthetics;Technological features;Functionality,Likely,Wheels;Grilles;Headlights,Steering wheel,500-1000,No,500-1000,"Yes, I can design on my own","['Price', 'Brand name', 'Aesthetics', 'Technological features', 'Functionality']","['Wheels', 'Grilles', 'Headlights']",['Steering wheel'],5,3,1
20-30,Male,"Do not own a car, but planning to purchase in future",Single,Price;Brand name;Aesthetics;Technological features;Customisable options,Very likely,Wheels;Headlights;Bumpers,Steering wheel;Centre compartment;Dashboard,500-1000,Only with professional help,500-1000,"No, I would need a designer to model my sketch","['Price', 'Brand name', 'Aesthetics', 'Technological features', 'Customisable options']","['Wheels', 'Headlights', 'Bumpers']","['Steering wheel', 'Centre compartment', 'Dashboard']",5,3,3
41-50,Male,"Do not own a car, but planning to purchase in future",Single,Brand name;Aesthetics;Technological features;Functionality,Very likely,Grilles;Headlights;Side mirrors;Bumpers,Steering wheel;Centre compartment;Door handles;Dashboard,over 1000,Yes,over 1000,"No, I would need a designer to model my sketch","['Brand name', 'Aesthetics', 'Technological features', 'Functionality']","['Grilles', 'Headlights', 'Side mirrors', 'Bumpers']","['Steering wheel', 'Centre compartment', 'Door handles', 'Dashboard']",4,4,4
20-30,Male,"Do not own a car, but planning to purchase in future",Single,Price;Technological features;Functionality;Sustainability/environment considerations,Likely,Grilles;Headlights;Bumpers,Centre compartment;Dashboard,under 500,Only with professional help,500-1000,"No, I would need a designer to model my sketch","['Price', 'Technological features', 'Functionality', 'Sustainability/environment considerations']","['Grilles', 'Headlights', 'Bumpers']","['Centre compartment', 'Dashboard']",4,3,2
20-30,Male,"Do not own a car, but planning to purchase in future",Single,Price;Brand name;Functionality,Very likely,Wheels;Bumpers,Steering wheel;Dashboard,500-1000,Yes,500-1000,"Yes, I can design on my own","['Price', 'Brand name', 'Functionality']","['Wheels', 'Bumpers']","['Steering wheel', 'Dashboard']",3,2,2
20-30,Male,"Do not own a car, but planning to purchase in future",Single,Sustainability/environment considerations,Very likely,Bumpers,Steering wheel,500-1000,Yes,500-1000,"No, I would need a designer to model my sketch",['Sustainability/environment considerations'],['Bumpers'],['Steering wheel'],1,1,1
51-60,Male,Own a car,Married with children,Price;Brand name;Aesthetics;Sustainability/environment considerations,Likely,Wheels;Grilles;Side mirrors;Bumpers,Steering wheel;Dashboard,500-1000,Yes,under 500,"No, I would need a designer to model my sketch","['Price', 'Brand name', 'Aesthetics', 'Sustainability/environment considerations']","['Wheels', 'Grilles', 'Side mirrors', 'Bumpers']","['Steering wheel', 'Dashboard']",4,4,2
31-40,Male,Own a car,Married with no children,Price;Brand name;Aesthetics;Size;Sustainability/environment considerations,Likely,Wheels;Grilles;Headlights,Steering wheel;Dashboard;air vent,500-1000,Only with professional help,500-1000,"No, I would need a designer to model my sketch","['Price', 'Brand name', 'Aesthetics', 'Size', 'Sustainability/environment considerations']","['Wheels', 'Grilles', 'Headlights']","['Steering wheel', 'Dashboard', 'air vent']",5,3,3
20-30,Male,"Do not own a car, but planning to purchase in future",Single,Price;Brand name;Aesthetics;Technological features;Functionality,Very likely,Wheels;Headlights;Bumpers;add body kit and change the exhaust and tune the engine,Steering wheel;Centre compartment,under 500,Yes,0,"No, I would need a designer to model my sketch","['Price', 'Brand name', 'Aesthetics', 'Technological features', 'Functionality']","['Wheels', 'Headlights', 'Bumpers', 'add body kit and change the exhaust and tune the engine']","['Steering wheel', 'Centre compartment']",5,4,2
20-30,Female,Own a car,Married with children,Price;Brand name;Aesthetics;Technological features;Functionality;Sustainability/environment considerations,Very likely,Wheels;Grilles;Headlights,Centre compartment,under 500,No,under 500,"No, I would need a designer to model my sketch","['Price', 'Brand name', 'Aesthetics', 'Technological features', 'Functionality', 'Sustainability/environment considerations']","['Wheels', 'Grilles', 'Headlights']",['Centre compartment'],6,3,1
